,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__algorithm,param_knn__leaf_size,param_knn__metric,param_knn__n_neighbors,param_knn__p,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
26,24.100938487052918,3.5489558012558504,1906.7430004835128,375.2850942689558,auto,60,euclidean,3,1,distance,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 60), ('knn__metric', 'euclidean'), ('knn__n_neighbors', 3), ('knn__p', 1), ('knn__weights', 'distance')])",0.9721050263255184,0.9549866823824974,0.9616410131647269,0.9686555460625197,0.9673091824600887,0.9676825309888046,0.9689137320866064,0.9693054342173552,0.9555435850497391,0.9709935845121856,0.9657136317250042,0.0058483350945591865,31
27,24.218206906318663,3.2161643132917694,7387.484408187866,1586.9239081810226,auto,10,manhattan,4,1,distance,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 10), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 4), ('knn__p', 1), ('knn__weights', 'distance')])",0.9775274445973263,0.9580108860141584,0.9674748222955616,0.972532975350704,0.971179466423202,0.9701490654793934,0.9779048153654173,0.9726078823477596,0.9660382161232113,0.9792686433162784,0.9712694217313012,0.006077692373352448,1
28,54.91670014858246,7.403445971937897,2351.7517104625704,470.2863949853933,ball_tree,52,manhattan,3,2,uniform,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 52), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 3), ('knn__p', 2), ('knn__weights', 'uniform')])",0.9728423333030752,0.9580956112562886,0.9644417390234509,0.9667534635947203,0.9684104718988156,0.9669071941716814,0.9679368229282552,0.9781149348273523,0.9530492835680124,0.9703426820031782,0.966689453657483,0.0067177046354578865,25
29,75.53146333694458,9.854128404998043,552.1965514421463,86.29460751109886,kd_tree,41,manhattan,4,1,distance,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 41), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 4), ('knn__p', 1), ('knn__weights', 'distance')])",0.9775274445973263,0.9580108860141584,0.9674748222955616,0.972532975350704,0.971179466423202,0.9701490654793934,0.9779048153654173,0.9726078823477596,0.9660382161232113,0.9792686433162784,0.9712694217313012,0.006077692373352448,1
30,79.29566617012024,10.651959701551583,530.4253101587295,83.94339686216794,kd_tree,18,minkowski,3,1,uniform,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 18), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 3), ('knn__p', 1), ('knn__weights', 'uniform')])",0.9728423333030752,0.9580956112562886,0.9644417390234509,0.9667534635947203,0.9684104718988156,0.9669071941716814,0.9679368229282552,0.9781149348273523,0.9530492835680124,0.9703426820031782,0.966689453657483,0.0067177046354578865,25
31,74.99468851089478,9.926959867489192,538.681199169159,82.7352578406214,kd_tree,59,manhattan,4,1,distance,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 59), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 4), ('knn__p', 1), ('knn__weights', 'distance')])",0.9775274445973263,0.9580108860141584,0.9674748222955616,0.972532975350704,0.971179466423202,0.9701490654793934,0.9779048153654173,0.9726078823477596,0.9660382161232113,0.9792686433162784,0.9712694217313012,0.006077692373352448,1
32,60.89949638843537,7.944493231852097,1543.727080821991,300.05999759027026,ball_tree,14,minkowski,15,2,distance,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 14), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 15), ('knn__p', 2), ('knn__weights', 'distance')])",0.9664529297585632,0.9547546464725902,0.9608606700250668,0.966150393643133,0.9598305614100113,0.9630940645679308,0.9567780326577144,0.9676303411478291,0.9490855781353179,0.9647323253723774,0.9609369543190533,0.005645068021181677,40
33,24.282925152778624,3.4295291624768987,1923.4367660999299,380.54604682685175,brute,58,euclidean,15,1,distance,"OrderedDict([('knn__algorithm', 'brute'), ('knn__leaf_size', 58), ('knn__metric', 'euclidean'), ('knn__n_neighbors', 15), ('knn__p', 1), ('knn__weights', 'distance')])",0.9664529297585632,0.9547546464725902,0.9608606700250668,0.966150393643133,0.9598305614100113,0.9630940645679308,0.9567622273787514,0.9676303411478291,0.9490855781353179,0.9647323253723774,0.960935373791157,0.005646234322961852,41
34,57.314194083213806,7.372922014411025,1540.70691614151,294.3430928973209,ball_tree,18,minkowski,3,1,distance,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 18), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 3), ('knn__p', 1), ('knn__weights', 'distance')])",0.9772562182408459,0.9595917360152603,0.968945744967348,0.9710618330129901,0.9693528252941931,0.9699593195618604,0.9745238081896173,0.9725770930610173,0.9641677088617377,0.9792016197009283,0.9706637906905797,0.005522948386220873,8
35,59.12208709716797,7.596188233668563,1097.786429309845,196.1074570971965,ball_tree,13,minkowski,15,1,uniform,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 13), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 15), ('knn__p', 1), ('knn__weights', 'uniform')])",0.9467201925888304,0.9551231681565693,0.9540814295877356,0.9596018596071841,0.9566055954927004,0.9628472103190328,0.940366984643892,0.9638366568163125,0.9455700920334923,0.9539191989154782,0.9538672388161228,0.007240299507825479,48
